Age,Gender,Region,HouseholdIncomeUSD,Occupation,BuyFrequency,AvgSpendPerTripUSD,StyleKeywords,InspirationPlatforms,BuysPreloved,PrelovedMotives,PrelovedBarriers,SustainabilityImportance,QuizWillingness,LinkSocials,PayPremiumForStory,ShareOwnStory,SubscriptionInterest,MaxMonthlyFeeUSD,SwapPerks
18,Male,North America,4676,Professional,Quarterly,64,Minimalist,YouTube,Yes,Affordability,"Authenticity, Hygiene",2,Maybe,Maybe if anonymised,4,3,Somewhat,64,Easy returns
36,Male,Europe,5191,Student,Monthly,126,"Casual, Formal","YouTube, Pinterest",Occasionally,"Story value, Unique pieces, Brand access",Sizing fit,5,Maybe,Yes,4,3,Very interested,53,Quality vetting
18,Female,Asia,6950,Creative,Weekly,126,"Sporty, Vintage, Casual","YouTube, Blogs",Yes,"Affordability, Brand access, Story value",Authenticity,2,Maybe,Maybe if anonymised,4,2,Very interested,25,"Easy returns, Stylist chat, Quality vetting, Hygiene guarantee"
36,Female,Asia,8406,Professional,Weekly,212,Vintage,"Instagram, YouTube",Yes,Unique pieces,"Authenticity, Sizing fit",1,Definitely,Yes,3,4,Somewhat,18,"Hygiene guarantee, Easy returns, Loyalty points, Quality vetting"
25,Male,Australia/NZ,7918,Professional,Rarely,175,Minimalist,IRL friends,Occasionally,Sustainability,"Shipping hassle, Sizing fit, None",3,No,Yes,5,3,Very interested,58,"Quality vetting, Stylist chat, Loyalty points, Easy returns"
22,Male,Asia,11491,Student,Weekly,51,Casual,Blogs,Yes,"Story value, Unique pieces",Shipping hassle,5,Maybe,Yes,5,4,Somewhat,11,"Hygiene guarantee, Stylist chat, Easy returns"
33,Female,Europe,5403,Creative,Rarely,74,"Casual, Streetwear",IRL friends,Occasionally,Unique pieces,Hygiene,4,No,No,1,2,Very interested,12,"Stylist chat, Hygiene guarantee, Quality vetting"
19,Male,Middle East,5884,Creative,Weekly,51,"Boho, Streetwear, Casual",Pinterest,No,Sustainability,"Shipping hassle, None",4,Maybe,Maybe if anonymised,4,3,Somewhat,5,"Hygiene guarantee, Easy returns, Loyalty points, Stylist chat"
35,Male,Europe,8945,Professional,Weekly,177,"Minimalist, Casual, Boho","YouTube, Instagram",Yes,"Affordability, Unique pieces",Authenticity,1,Maybe,Maybe if anonymised,4,4,Neutral,64,"Quality vetting, Hygiene guarantee"
21,Prefer not to say,North America,7280,Retail/Service,Monthly,174,Boho,"TikTok, Blogs, IRL friends",Occasionally,"Unique pieces, Affordability","Shipping hassle, Hygiene, Sizing fit",5,Definitely,Maybe if anonymised,4,2,Somewhat,66,"Quality vetting, Loyalty points"
42,Male,North America,13862,Homemaker,Monthly,135,Minimalist,Pinterest,Occasionally,"Unique pieces, Affordability, Story value","None, Authenticity",2,Definitely,No,4,1,Very interested,49,"Quality vetting, Hygiene guarantee"
27,Female,Middle East,7213,Student,Monthly,164,"Formal, Boho, Casual","YouTube, IRL friends",Yes,"Sustainability, Affordability, Unique pieces","Hygiene, Authenticity, Shipping hassle",5,Maybe,Maybe if anonymised,5,2,Neutral,24,Quality vetting
24,Male,Other,13557,Professional,Monthly,125,"Vintage, Minimalist, Streetwear","Pinterest, YouTube",Yes,"Story value, Unique pieces","Hygiene, Shipping hassle, Sizing fit",1,Definitely,No,4,1,Neutral,30,"Easy returns, Hygiene guarantee, Quality vetting, Loyalty points"
35,Female,Africa,8995,Professional,Quarterly,51,Minimalist,Blogs,No,Brand access,Hygiene,3,Maybe,Maybe if anonymised,4,4,Somewhat,56,"Hygiene guarantee, Easy returns, Loyalty points, Stylist chat"
32,Female,Europe,3431,Professional,Weekly,157,Casual,"Blogs, TikTok",No,"Affordability, Brand access, Story value",Authenticity,2,No,Maybe if anonymised,3,1,Somewhat,38,Stylist chat
30,Male,Asia,5031,Retail/Service,Monthly,130,"Minimalist, Boho, Formal","Instagram, Blogs",Yes,"Brand access, Affordability","None, Sizing fit",4,Maybe,Maybe if anonymised,3,5,Somewhat,37,"Loyalty points, Quality vetting, Hygiene guarantee"
25,Male,Other,6965,Student,Weekly,54,"Boho, Formal, Sporty","TikTok, IRL friends, YouTube",No,"Affordability, Unique pieces",Sizing fit,3,No,Maybe if anonymised,4,2,Somewhat,57,"Easy returns, Stylist chat"
39,Female,North America,4970,Other,Weekly,87,Vintage,Blogs,No,"Story value, Affordability, Sustainability","Authenticity, Hygiene, None",4,Definitely,Yes,1,3,Somewhat,44,"Quality vetting, Loyalty points, Hygiene guarantee"
34,Female,Other,12885,Creative,Monthly,88,"Boho, Streetwear","IRL friends, YouTube",Yes,Affordability,Authenticity,5,Definitely,No,1,4,Very interested,64,"Stylist chat, Hygiene guarantee"
36,Male,Asia,6734,Creative,Monthly,236,"Formal, Minimalist, Casual","Pinterest, Instagram",No,Brand access,"Hygiene, None",3,Definitely,Maybe if anonymised,4,3,Somewhat,17,"Easy returns, Quality vetting, Loyalty points, Stylist chat"
31,Female,North America,6935,Professional,Weekly,91,Minimalist,TikTok,Yes,"Affordability, Brand access, Sustainability","Shipping hassle, Sizing fit",5,Maybe,Yes,4,3,Neutral,5,"Stylist chat, Easy returns, Loyalty points, Hygiene guarantee"
25,Male,North America,8005,Professional,Monthly,174,Formal,"YouTube, Pinterest, IRL friends",Occasionally,Unique pieces,"Shipping hassle, Sizing fit",2,Maybe,Maybe if anonymised,4,4,Not interested,59,"Loyalty points, Easy returns"
27,Female,Asia,2342,Professional,Quarterly,77,Casual,"YouTube, Pinterest, TikTok",No,"Affordability, Sustainability","None, Hygiene, Sizing fit",4,Maybe,Maybe if anonymised,3,2,Somewhat,47,"Quality vetting, Easy returns, Hygiene guarantee, Loyalty points"
27,Female,Europe,7444,Retail/Service,Monthly,10,Minimalist,"Pinterest, IRL friends, TikTok",Yes,"Brand access, Affordability, Sustainability","None, Hygiene",3,Definitely,Yes,4,3,Very interested,53,Easy returns
25,Male,North America,1913,Creative,Weekly,117,Streetwear,Pinterest,Occasionally,"Sustainability, Story value, Brand access",Shipping hassle,3,Definitely,No,4,3,Somewhat,44,"Quality vetting, Loyalty points, Hygiene guarantee, Easy returns"
24,Female,Europe,7961,Retail/Service,Monthly,152,"Minimalist, Streetwear, Sporty","Blogs, YouTube",Yes,"Unique pieces, Story value, Sustainability","Authenticity, Sizing fit, None",3,Maybe,No,2,3,Not interested,66,"Easy returns, Hygiene guarantee, Quality vetting, Stylist chat"
28,Female,Asia,2293,Homemaker,Monthly,270,Vintage,"TikTok, Instagram, IRL friends",Yes,Affordability,"Sizing fit, Shipping hassle, Hygiene",5,Definitely,Maybe if anonymised,4,5,Very interested,68,"Easy returns, Hygiene guarantee, Loyalty points"
38,Non-binary,North America,4601,Other,Quarterly,56,Streetwear,Pinterest,No,"Story value, Affordability, Unique pieces","None, Authenticity, Shipping hassle",3,Definitely,Yes,3,2,Neutral,27,Stylist chat
18,Male,Middle East,6678,Student,Weekly,110,Casual,"YouTube, Blogs, Instagram",No,Unique pieces,Sizing fit,4,Definitely,No,4,3,Somewhat,24,"Hygiene guarantee, Easy returns, Quality vetting, Stylist chat"
18,Male,North America,5385,Homemaker,Quarterly,44,"Minimalist, Casual, Vintage","TikTok, Blogs, Pinterest",Yes,"Sustainability, Unique pieces","None, Shipping hassle",1,Definitely,Maybe if anonymised,3,2,Somewhat,19,"Stylist chat, Loyalty points, Quality vetting"
35,Female,Africa,6474,Creative,Weekly,103,"Boho, Sporty, Minimalist","IRL friends, YouTube, Pinterest",Yes,"Affordability, Story value, Unique pieces","Sizing fit, Shipping hassle",4,Definitely,Yes,5,3,Somewhat,61,"Easy returns, Hygiene guarantee, Stylist chat"
24,Male,Australia/NZ,5575,Student,Quarterly,82,"Streetwear, Minimalist, Formal",YouTube,No,"Unique pieces, Affordability","Authenticity, Sizing fit",1,Maybe,No,4,3,Very interested,81,"Loyalty points, Easy returns"
33,Male,North America,9014,Retail/Service,Quarterly,58,"Formal, Sporty","IRL friends, Blogs, Pinterest",Yes,"Unique pieces, Brand access, Story value","Sizing fit, Authenticity, Shipping hassle",4,Definitely,Yes,1,3,Somewhat,74,"Quality vetting, Hygiene guarantee, Stylist chat"
39,Female,North America,6567,Homemaker,Quarterly,16,Formal,"Instagram, Pinterest, Blogs",Occasionally,Story value,"Shipping hassle, Sizing fit",2,Definitely,Maybe if anonymised,4,4,Very interested,64,Hygiene guarantee
37,Male,Asia,7775,Student,Quarterly,100,"Sporty, Minimalist","IRL friends, YouTube",Yes,Unique pieces,"Hygiene, Authenticity",3,Definitely,Yes,3,2,Very interested,55,Quality vetting
18,Male,Europe,8095,Professional,Rarely,64,"Formal, Streetwear","Instagram, Pinterest, YouTube",Occasionally,Story value,"Shipping hassle, None, Sizing fit",4,Definitely,Maybe if anonymised,4,3,Somewhat,52,"Stylist chat, Loyalty points, Quality vetting"
31,Female,Asia,10171,Retail/Service,Weekly,137,"Boho, Formal",TikTok,Yes,Brand access,Sizing fit,3,Maybe,No,5,4,Somewhat,58,"Easy returns, Quality vetting"
18,Non-binary,North America,13427,Creative,Monthly,61,Vintage,"TikTok, Instagram, IRL friends",Occasionally,Sustainability,"None, Authenticity, Hygiene",3,Definitely,Maybe if anonymised,1,4,Somewhat,63,"Quality vetting, Stylist chat"
23,Female,North America,11011,Professional,Rarely,113,"Streetwear, Minimalist, Vintage","YouTube, Pinterest",Yes,"Brand access, Affordability","Authenticity, Hygiene, Sizing fit",4,Maybe,No,3,3,Somewhat,77,Loyalty points
35,Male,Asia,5293,Student,Monthly,74,"Vintage, Sporty","TikTok, YouTube",Yes,Affordability,"Sizing fit, Authenticity, None",5,Maybe,Maybe if anonymised,4,5,Neutral,80,"Loyalty points, Easy returns, Hygiene guarantee"
26,Female,Middle East,4770,Creative,Monthly,53,Vintage,"Instagram, Blogs, TikTok",No,"Affordability, Sustainability","Authenticity, Sizing fit, Shipping hassle",1,Definitely,Maybe if anonymised,5,2,Neutral,56,"Quality vetting, Hygiene guarantee, Stylist chat"
20,Male,North America,3618,Creative,Monthly,132,"Formal, Sporty, Casual","YouTube, TikTok",No,Unique pieces,"Shipping hassle, None",3,Maybe,Yes,2,3,Not interested,65,Stylist chat
31,Prefer not to say,Europe,5013,Other,Rarely,138,"Vintage, Minimalist","IRL friends, Pinterest",Yes,Brand access,"Hygiene, Shipping hassle, Sizing fit",4,Definitely,Yes,4,5,Somewhat,78,"Loyalty points, Quality vetting, Stylist chat"
28,Female,Asia,4181,Creative,Quarterly,85,"Sporty, Formal","IRL friends, TikTok",Yes,Story value,Hygiene,1,Maybe,Maybe if anonymised,3,1,Somewhat,91,Quality vetting
33,Female,Asia,5819,Other,Weekly,177,"Formal, Casual","IRL friends, TikTok, Blogs",Yes,Sustainability,None,4,Definitely,Maybe if anonymised,5,1,Not interested,36,"Easy returns, Loyalty points, Quality vetting, Stylist chat"
21,Male,Europe,2347,Professional,Quarterly,137,"Sporty, Streetwear, Casual","YouTube, IRL friends",No,"Story value, Sustainability",Shipping hassle,3,Maybe,No,5,1,Neutral,11,"Loyalty points, Hygiene guarantee"
24,Male,North America,14181,Retail/Service,Monthly,229,"Sporty, Minimalist, Boho","YouTube, Instagram, IRL friends",No,"Unique pieces, Story value","Sizing fit, Authenticity",5,No,Maybe if anonymised,4,4,Somewhat,25,"Loyalty points, Quality vetting, Easy returns, Hygiene guarantee"
18,Male,Australia/NZ,7163,Student,Quarterly,93,Boho,"TikTok, Pinterest, YouTube",Yes,Brand access,"Shipping hassle, Hygiene",3,Definitely,Yes,1,3,Somewhat,48,"Hygiene guarantee, Easy returns, Quality vetting"
25,Female,North America,5179,Student,Weekly,168,"Casual, Vintage, Sporty","IRL friends, Pinterest, Blogs",Yes,"Sustainability, Brand access, Story value","Sizing fit, Shipping hassle, Authenticity",3,Definitely,Maybe if anonymised,4,2,Somewhat,67,"Easy returns, Loyalty points, Hygiene guarantee"
28,Prefer not to say,Europe,15767,Student,Quarterly,103,"Sporty, Vintage, Formal",TikTok,No,"Brand access, Affordability, Unique pieces","Authenticity, Sizing fit",4,Definitely,No,5,5,Somewhat,63,"Loyalty points, Stylist chat, Quality vetting"
31,Female,Europe,5172,Retail/Service,Rarely,104,"Formal, Streetwear","TikTok, Pinterest, Blogs",Yes,Sustainability,Shipping hassle,3,Definitely,Yes,2,3,Somewhat,70,"Loyalty points, Hygiene guarantee, Stylist chat, Quality vetting"
27,Female,Asia,8313,Student,Weekly,128,Minimalist,Blogs,No,Affordability,"Authenticity, Shipping hassle",4,Maybe,Maybe if anonymised,5,4,Somewhat,52,"Stylist chat, Easy returns"
22,Male,Australia/NZ,12742,Homemaker,Quarterly,34,"Sporty, Minimalist, Vintage","Pinterest, YouTube, Instagram",No,Sustainability,Authenticity,2,Maybe,Yes,4,3,Somewhat,53,"Quality vetting, Hygiene guarantee, Easy returns"
21,Female,North America,12300,Homemaker,Monthly,82,Minimalist,"YouTube, TikTok",Yes,"Unique pieces, Brand access, Story value","Sizing fit, Hygiene",4,Maybe,No,5,3,Very interested,43,Loyalty points
27,Female,North America,5893,Homemaker,Quarterly,95,"Casual, Formal, Vintage",YouTube,Yes,Sustainability,Sizing fit,5,No,Yes,4,2,Not interested,31,"Easy returns, Hygiene guarantee, Stylist chat, Loyalty points"
34,Male,Europe,5819,Homemaker,Weekly,149,"Streetwear, Sporty, Casual","Blogs, Pinterest, YouTube",Yes,"Story value, Affordability, Unique pieces","None, Shipping hassle",5,Definitely,Maybe if anonymised,1,2,Somewhat,45,"Easy returns, Hygiene guarantee, Stylist chat, Quality vetting"
32,Male,Asia,6420,Student,Quarterly,122,"Casual, Minimalist, Streetwear",Instagram,No,Affordability,"None, Sizing fit, Shipping hassle",3,Maybe,Maybe if anonymised,4,5,Neutral,69,"Quality vetting, Hygiene guarantee"
27,Female,North America,4132,Student,Weekly,99,"Boho, Streetwear, Minimalist","Pinterest, Instagram, YouTube",Yes,Unique pieces,"Hygiene, None",2,No,Yes,2,4,Neutral,6,"Hygiene guarantee, Easy returns"
19,Female,North America,6057,Professional,Monthly,24,Minimalist,"Pinterest, IRL friends",Occasionally,Story value,"Authenticity, Sizing fit, Shipping hassle",3,Definitely,Maybe if anonymised,4,3,Somewhat,64,"Quality vetting, Stylist chat, Hygiene guarantee"
26,Female,Africa,6775,Homemaker,Quarterly,67,"Sporty, Boho","Instagram, TikTok, Pinterest",Yes,"Unique pieces, Story value, Affordability","Hygiene, Authenticity, Shipping hassle",3,No,No,4,2,Somewhat,87,"Hygiene guarantee, Stylist chat, Loyalty points"
38,Male,North America,6614,Student,Quarterly,78,"Streetwear, Minimalist, Formal","IRL friends, Pinterest",Yes,Affordability,"None, Shipping hassle",3,Definitely,Yes,5,3,Somewhat,57,Hygiene guarantee
29,Female,Middle East,13438,Professional,Quarterly,131,"Streetwear, Sporty","IRL friends, Instagram",Occasionally,Affordability,"None, Sizing fit",4,Definitely,Maybe if anonymised,3,2,Somewhat,49,"Loyalty points, Hygiene guarantee, Easy returns, Stylist chat"
44,Male,Australia/NZ,9247,Homemaker,Monthly,126,"Vintage, Sporty","TikTok, Blogs, Instagram",Occasionally,"Affordability, Sustainability, Brand access","Hygiene, None",5,No,No,4,3,Very interested,9,"Hygiene guarantee, Easy returns"
18,Female,North America,8018,Professional,Quarterly,193,"Sporty, Minimalist","IRL friends, TikTok",No,"Brand access, Affordability, Unique pieces","Hygiene, Authenticity, None",4,Maybe,Maybe if anonymised,4,5,Neutral,37,"Quality vetting, Stylist chat"
37,Male,Europe,5670,Retail/Service,Monthly,160,"Minimalist, Formal, Vintage","Pinterest, TikTok",Yes,"Unique pieces, Brand access","Hygiene, Authenticity, Shipping hassle",4,Maybe,Maybe if anonymised,3,3,Very interested,20,"Stylist chat, Hygiene guarantee, Quality vetting, Easy returns"
31,Female,Europe,11340,Student,Quarterly,153,Sporty,"TikTok, Pinterest, YouTube",No,Story value,"Shipping hassle, None, Authenticity",3,No,No,5,3,Not interested,52,Hygiene guarantee
